query-id	corpus-id	score
genQ301	43uwh	1
genQ302	43uwh	1
genQ303	43uwh	1
genQ304	43uwh	1
genQ305	43uwh	1
genQ306	43uwh	1
genQ307	43uwh	1
genQ308	43uwh	1
genQ309	43uwh	1
genQ310	43uwh	1
genQ311	43uwh	1
genQ312	43uwh	1
genQ313	43uwh	1
genQ314	43uwh	1
genQ315	43uwh	1
genQ316	43uwh	1
genQ317	43uwh	1
genQ318	43uwh	1
genQ319	43uwh	1
genQ320	43uwh	1
genQ321	43uwh	1
genQ322	43uwh	1
genQ323	43uwh	1
genQ324	43uwh	1
genQ325	43uwh	1
genQ326	43uwh	1
genQ327	43uwh	1
genQ328	43uwh	1
genQ329	43uwh	1
genQ330	43uwh	1
genQ331	43uwh	1
genQ332	43uwh	1
genQ333	43uwh	1
genQ334	43uwh	1
genQ335	43uwh	1
genQ336	43uwh	1
genQ337	43uwh	1
genQ338	43uwh	1
genQ339	9ui3wej	1
genQ340	9ui3wej	1
genQ341	9ui3wej	1
genQ342	9ui3wej	1
genQ343	9ui3wej	1
genQ344	9ui3wej	1
genQ345	9ui3wej	1
genQ346	9ui3wej	1
genQ347	9ui3wej	1
genQ348	9ui3wej	1
genQ349	9ui3wej	1
genQ350	9ui3wej	1
genQ351	9ui3wej	1
genQ352	9ui3wej	1
genQ353	9ui3wej	1
genQ354	9ui3wej	1
genQ355	9ui3wej	1
genQ356	9ui3wej	1
genQ357	9ui3wej	1
genQ358	9ui3wej	1
genQ359	9ui3wej	1
genQ360	9ui3wej	1
genQ361	9ui3wej	1
genQ362	9ui3wej	1
genQ363	9ui3wej	1
genQ364	9ui3wej	1
genQ365	9ui3wej	1
genQ366	9ui3wej	1
genQ367	9ui3wej	1
genQ368	9ui3wej	1
genQ369	9ui3wej	1
genQ370	9ui3wej	1
genQ371	9ui3wej	1
genQ372	9ui3wej	1
genQ373	9ui3wej	1
genQ374	9ui3wej	1
genQ375	9ui3wej	1
genQ376	9ui3wej	1
genQ377	9ui3wej	1
genQ378	9ui3wej	1
genQ379	9ui3wej	1
genQ380	9ui3wej	1
genQ381	9ui3wej	1
genQ382	9ui3wej	1
genQ383	9ui3wej	1
genQ384	9ui3wej	1
genQ385	9ui3wej	1
genQ386	9ui3wej	1
genQ387	9ui3wej	1
genQ388	9ui3wej	1
genQ389	9ui3wej	1
genQ390	9ui3wej	1
genQ391	9ui3wej	1
genQ392	9ui3wej	1
genQ393	9ui3wej	1
genQ394	9ui3wej	1
genQ395	9ui3wej	1
genQ396	9ui3wej	1
genQ397	9ui3wej	1
genQ398	9ui3wej	1
genQ399	9ui3wej	1
genQ400	9ui3wej	1
genQ401	9ui3wej	1
genQ402	9ui3wej	1
genQ403	9ui3wej	1
genQ404	9ui3wej	1
genQ405	9ui3wej	1
genQ406	9ui3wej	1
genQ407	9ui3wej	1
genQ408	9ui3wej	1
genQ409	9ui3wej	1
genQ410	9ui3wej	1
genQ411	9ui3wej	1
genQ412	9ui3wej	1
genQ413	9ui3wej	1
genQ414	9ui3wej	1
genQ415	9ui3wej	1
genQ416	9ui3wej	1
genQ417	9ui3wej	1
genQ418	9ui3wej	1
genQ419	9ui3wej	1
genQ420	9ui3wej	1
genQ421	9ui3wej	1
genQ422	9ui3wej	1
genQ423	9ui3wej	1
genQ424	9ui3wej	1
genQ425	9ui3wej	1
genQ426	9ui3wej	1
genQ427	9ui3wej	1
genQ428	9ui3wej	1
genQ429	9ui3wej	1
genQ430	9ui3wej	1
genQ431	9ui3wej	1
genQ432	9ui3wej	1
genQ433	9ui3wej	1
genQ434	9ui3wej	1
genQ435	9ui3wej	1
genQ436	9ui3wej	1
genQ437	9ui3wej	1
genQ438	9ui3wej	1
genQ439	9ui3wej	1
genQ440	9ui3wej	1
genQ441	9ui3wej	1
genQ442	9ui3wej	1
genQ443	9ui3wej	1
genQ444	9ui3wej	1
genQ445	9ui3wej	1
genQ446	9ui3wej	1
genQ447	9ui3wej	1
genQ448	9ui3wej	1
genQ449	9ui3wej	1
genQ450	9ui3wej	1
genQ451	9ui3wej	1
genQ452	9ui3wej	1
genQ453	9ui3wej	1
genQ454	9ui3wej	1
genQ455	9ui3wej	1
genQ456	9ui3wej	1
genQ457	9ui3wej	1
genQ458	9ui3wej	1
genQ459	9ui3wej	1
genQ460	9ui3wej	1
genQ461	9ui3wej	1
genQ462	9ui3wej	1
genQ463	9ui3wej	1
genQ464	9ui3wej	1
genQ465	9ui3wej	1
genQ466	9ui3wej	1
genQ467	9ui3wej	1
genQ468	9ui3wej	1
genQ469	9ui3wej	1
genQ470	9ui3wej	1
genQ471	9ui3wej	1
genQ472	9ui3wej	1
genQ473	9ui3wej	1
genQ474	9ui3wej	1
genQ475	9ui3wej	1
genQ476	9ui3wej	1
genQ477	9ui3wej	1
genQ478	9ui3wej	1
genQ479	9ui3wej	1
genQ480	9ui3wej	1
genQ481	9ui3wej	1
genQ482	9ui3wej	1
genQ483	9ui3wej	1
genQ484	9ui3wej	1
genQ485	9ui3wej	1
genQ486	9ui3wej	1
genQ487	9ui3wej	1
genQ488	9ui3wej	1
genQ489	9ui3wej	1
genQ490	9ui3wej	1
genQ491	9ui3wej	1
genQ492	9ui3wej	1
genQ493	9ui3wej	1
genQ494	9ui3wej	1
genQ495	9ui3wej	1
genQ496	9ui3wej	1
genQ497	9ui3wej	1
genQ498	9ui3wej	1
genQ499	9ui3wej	1
genQ500	9ui3wej	1
genQ501	9ui3wej	1
genQ502	9ui3wej	1
genQ503	9ui3wej	1
genQ504	9ui3wej	1
genQ505	9ui3wej	1
genQ506	9ui3wej	1
genQ507	9ui3wej	1
genQ508	9ui3wej	1
genQ509	9ui3wej	1
genQ510	9ui3wej	1
genQ511	9ui3wej	1
genQ512	9ui3wej	1
genQ513	9ui3wej	1
genQ514	9ui3wej	1
genQ515	9ui3wej	1
genQ516	9ui3wej	1
genQ517	9ui3wej	1
genQ518	9ui3wej	1
genQ519	9ui3wej	1
genQ520	9ui3wej	1
genQ521	9ui3wej	1
genQ522	9ui3wej	1
genQ523	9ui3wej	1
genQ524	9ui3wej	1
genQ525	9ui3wej	1
genQ526	9ui3wej	1
genQ527	9ui3wej	1
genQ528	9ui3wej	1
genQ529	9ui3wej	1
genQ530	9ui3wej	1
genQ531	9ui3wej	1
genQ532	9ui3wej	1
genQ533	9ui3wej	1
genQ534	9ui3wej	1
genQ535	9ui3wej	1
genQ536	9ui3wej	1
genQ537	9ui3wej	1
genQ538	9ui3wej	1
genQ539	9ui3wej	1
genQ540	9ui3wej	1
genQ541	9ui3wej	1
genQ542	9ui3wej	1
genQ543	9ui3wej	1
genQ544	9ui3wej	1
genQ545	9ui3wej	1
genQ546	9ui3wej	1
genQ547	9ui3wej	1
genQ548	9ui3wej	1
genQ549	9ui3wej	1
genQ550	9ui3wej	1
genQ551	9ui3wej	1
genQ552	9ui3wej	1
genQ553	9ui3wej	1
genQ554	9ui3wej	1
genQ555	9ui3wej	1
genQ556	9ui3wej	1
genQ557	9ui3wej	1
genQ558	9ui3wej	1
genQ559	9ui3wej	1
genQ560	9ui3wej	1
genQ561	9ui3wej	1
genQ562	9ui3wej	1
genQ563	9ui3wej	1
genQ564	9ui3wej	1
genQ565	9ui3wej	1
genQ566	9ui3wej	1
genQ567	9ui3wej	1
genQ568	9ui3wej	1
genQ569	9ui3wej	1
genQ570	9ui3wej	1
genQ571	9ui3wej	1
genQ572	9ui3wej	1
genQ573	9ui3wej	1
genQ574	9ui3wej	1
genQ575	9ui3wej	1
genQ576	9ui3wej	1
genQ577	9ui3wej	1
genQ578	9ui3wej	1
genQ579	9ui3wej	1
genQ580	9ui3wej	1
genQ581	9ui3wej	1
genQ582	9ui3wej	1
genQ583	9ui3wej	1
genQ584	9ui3wej	1
genQ585	9ui3wej	1
genQ586	9ui3wej	1
genQ587	9ui3wej	1
genQ588	9ui3wej	1
genQ589	9ui3wej	1
genQ590	9ui3wej	1
genQ591	9ui3wej	1
genQ592	9ui3wej	1
genQ593	9ui3wej	1
genQ594	9ui3wej	1
genQ595	9ui3wej	1
genQ596	9ui3wej	1
genQ597	9ui3wej	1
genQ598	9ui3wej	1
genQ599	9ui3wej	1
genQ600	9ui3wej	1
genQ601	9ui3wej	1
genQ602	9ui3wej	1
genQ603	9ui3wej	1
genQ604	9ui3wej	1
genQ605	9ui3wej	1
genQ606	9ui3wej	1
genQ607	9ui3wej	1
genQ608	9ui3wej	1
genQ609	9ui3wej	1
genQ610	9ui3wej	1
genQ611	9ui3wej	1
genQ612	9ui3wej	1
genQ613	9ui3wej	1
genQ614	9ui3wej	1
genQ615	9ui3wej	1
genQ616	9ui3wej	1
genQ617	9ui3wej	1
genQ618	9ui3wej	1
genQ619	9ui3wej	1
genQ620	9ui3wej	1
genQ621	9ui3wej	1
genQ622	9ui3wej	1
genQ623	9ui3wej	1
genQ624	9ui3wej	1
genQ625	9ui3wej	1
genQ626	9ui3wej	1
genQ627	9ui3wej	1
genQ628	9ui3wej	1
genQ629	9ui3wej	1
genQ630	9ui3wej	1
genQ631	9ui3wej	1
genQ632	9ui3wej	1
genQ633	9ui3wej	1
genQ634	9ui3wej	1
genQ635	9ui3wej	1
genQ636	9ui3wej	1
genQ637	9ui3wej	1
genQ638	9ui3wej	1
genQ639	9ui3wej	1
genQ640	9ui3wej	1
genQ641	9ui3wej	1
genQ642	9ui3wej	1
genQ643	9ui3wej	1
genQ644	9ui3wej	1
genQ645	9ui3wej	1
genQ646	9ui3wej	1
genQ647	9ui3wej	1
genQ648	9ui3wej	1
genQ649	9ui3wej	1
genQ650	9ui3wej	1
genQ651	9ui3wej	1
genQ652	9ui3wej	1
genQ653	9ui3wej	1
genQ654	9ui3wej	1
genQ655	9ui3wej	1
genQ656	9ui3wej	1
genQ657	9ui3wej	1
genQ658	9ui3wej	1
genQ659	9ui3wej	1
genQ660	9ui3wej	1
genQ661	9ui3wej	1
genQ662	9ui3wej	1
genQ663	9ui3wej	1
genQ664	9ui3wej	1
genQ665	9ui3wej	1
genQ666	9ui3wej	1
genQ667	9ui3wej	1
genQ668	9ui3wej	1
genQ669	9ui3wej	1
genQ670	9ui3wej	1
genQ671	9ui3wej	1
genQ672	9ui3wej	1
genQ673	9ui3wej	1
genQ674	9ui3wej	1
genQ675	9ui3wej	1
genQ676	9ui3wej	1
genQ677	9ui3wej	1
genQ678	9ui3wej	1
genQ679	9ui3wej	1
genQ680	9ui3wej	1
genQ681	9ui3wej	1
genQ682	9ui3wej	1
genQ683	9ui3wej	1
genQ684	9ui3wej	1
genQ685	9ui3wej	1
genQ686	9ui3wej	1
genQ687	9ui3wej	1
genQ688	9ui3wej	1
genQ689	9ui3wej	1
genQ690	9ui3wej	1
genQ691	9ui3wej	1
genQ692	9ui3wej	1
genQ693	9ui3wej	1
genQ694	9ui3wej	1
genQ695	9ui3wej	1
genQ696	9ui3wej	1
genQ697	9ui3wej	1
genQ698	9ui3wej	1
genQ699	9ui3wej	1
genQ700	9ui3wej	1
genQ701	9ui3wej	1
genQ702	9ui3wej	1
genQ703	9ui3wej	1
genQ704	9ui3wej	1
genQ705	9ui3wej	1
genQ706	9ui3wej	1
genQ707	9ui3wej	1
genQ708	9ui3wej	1
genQ709	sjnkef	1
genQ710	sjnkef	1
genQ711	sjnkef	1
genQ712	sjnkef	1
genQ713	sjnkef	1
genQ714	sjnkef	1
genQ715	sjnkef	1
genQ716	sjnkef	1
genQ717	sjnkef	1
genQ718	sjnkef	1
genQ719	sjnkef	1
genQ720	sjnkef	1
genQ721	sjnkef	1
genQ722	sjnkef	1
genQ723	sjnkef	1
genQ724	sjnkef	1
genQ725	sjnkef	1
genQ726	sjnkef	1
genQ727	sjnkef	1
genQ728	sjnkef	1
genQ729	sjnkef	1
genQ730	sjnkef	1
genQ731	sjnkef	1
genQ732	sjnkef	1
genQ733	sjnkef	1
genQ734	sjnkef	1
genQ735	sjnkef	1
genQ736	sjnkef	1
genQ737	sjnkef	1
genQ738	sjnkef	1
genQ739	sjnkef	1
genQ740	sjnkef	1
genQ741	sjnkef	1
genQ742	sjnkef	1
genQ743	sjnkef	1
genQ744	sjnkef	1
genQ745	sjnkef	1
genQ746	sjnkef	1
genQ747	sjnkef	1
genQ748	sjnkef	1
genQ749	sjnkef	1
genQ750	sjnkef	1
genQ751	sjnkef	1
genQ752	sjnkef	1
genQ753	sjnkef	1
genQ754	sjnkef	1
genQ755	sjnkef	1
genQ756	sjnkef	1
genQ757	sjnkef	1
genQ758	sjnkef	1
genQ759	sjnkef	1
genQ760	sjnkef	1
genQ761	sjnkef	1
genQ762	sjnkef	1
genQ763	sjnkef	1
genQ764	sjnkef	1
genQ765	sjnkef	1
genQ766	sjnkef	1
genQ767	sjnkef	1
genQ768	sjnkef	1
genQ769	sjnkef	1
genQ770	sjnkef	1
genQ771	sjnkef	1
genQ772	sjnkef	1
genQ773	sjnkef	1
genQ774	sjnkef	1
genQ775	sjnkef	1
genQ776	sjnkef	1
genQ777	sjnkef	1
genQ778	sjnkef	1
genQ779	sjnkef	1
genQ780	sjnkef	1
genQ781	sjnkef	1
genQ782	sjnkef	1
genQ783	sjnkef	1
genQ784	sjnkef	1
genQ785	sjnkef	1
genQ786	sjnkef	1
genQ787	sjnkef	1
genQ788	sjnkef	1
genQ789	sjnkef	1
genQ790	sjnkef	1
genQ791	sjnkef	1
genQ792	sjnkef	1
genQ793	sjnkef	1
genQ794	sjnkef	1
genQ795	sjnkef	1
genQ796	sjnkef	1
genQ797	sjnkef	1
genQ798	sjnkef	1
genQ799	sjnkef	1
genQ800	sjnkef	1
genQ801	sjnkef	1
genQ802	sjnkef	1
genQ803	sjnkef	1
genQ804	sjnkef	1
genQ805	sjnkef	1
genQ806	sjnkef	1
genQ807	sjnkef	1
genQ808	sjnkef	1
genQ809	sjnkef	1
genQ810	sjnkef	1
genQ811	sjnkef	1
genQ812	sjnkef	1
genQ813	sjnkef	1
genQ814	sjnkef	1
genQ815	sjnkef	1
genQ816	sjnkef	1
genQ817	sjnkef	1
genQ818	sjnkef	1
genQ819	sjnkef	1
genQ820	sjnkef	1
genQ821	sjnkef	1
genQ822	sjnkef	1
genQ823	sjnkef	1
genQ824	sjnkef	1
genQ825	sjnkef	1
genQ826	sjnkef	1
genQ827	sjnkef	1
genQ828	sjnkef	1
genQ829	sjnkef	1
genQ830	sjnkef	1
genQ831	sjnkef	1
genQ832	sjnkef	1
genQ833	sjnkef	1
genQ834	sjnkef	1
genQ835	sjnkef	1
genQ836	sjnkef	1
genQ837	sjnkef	1
genQ838	sjnkef	1
genQ839	sjnkef	1
genQ840	sjnkef	1
genQ841	sjnkef	1
genQ842	sjnkef	1
genQ843	sjnkef	1
genQ844	sjnkef	1
genQ845	sjnkef	1
genQ846	sjnkef	1
genQ847	sjnkef	1
genQ848	sjnkef	1
genQ849	sjnkef	1
genQ850	sjnkef	1
genQ851	sjnkef	1
genQ852	sjnkef	1
genQ853	sjnkef	1
genQ854	sjnkef	1
genQ855	sjnkef	1
genQ856	sjnkef	1
genQ857	sjnkef	1
genQ858	sjnkef	1
genQ859	sjnkef	1
genQ860	sjnkef	1
genQ861	sjnkef	1
genQ862	sjnkef	1
genQ863	sjnkef	1
genQ864	sjnkef	1
genQ865	sjnkef	1
genQ866	sjnkef	1
genQ867	sjnkef	1
genQ868	sjnkef	1
genQ869	sjnkef	1
genQ870	sjnkef	1
genQ871	sjnkef	1
genQ872	sjnkef	1
genQ873	sjnkef	1
genQ874	sjnkef	1
genQ875	sjnkef	1
genQ876	sjnkef	1
genQ877	sjnkef	1
genQ878	sjnkef	1
genQ879	sjnkef	1
genQ880	sjnkef	1
genQ881	sjnkef	1
genQ882	sjnkef	1
genQ883	sjnkef	1
genQ884	sjnkef	1
genQ885	sjnkef	1
genQ886	sjnkef	1
genQ887	sjnkef	1
genQ888	sjnkef	1
genQ889	sjnkef	1
genQ890	sjnkef	1
genQ891	sjnkef	1
genQ892	sjnkef	1
genQ893	sjnkef	1
genQ894	sjnkef	1
genQ895	sjnkef	1
genQ896	sjnkef	1
genQ897	sjnkef	1
genQ898	sjnkef	1
genQ899	sjnkef	1
genQ900	sjnkef	1
genQ901	sjnkef	1
genQ902	sjnkef	1
genQ903	sjnkef	1
genQ904	sjnkef	1
genQ905	sjnkef	1
genQ906	sjnkef	1
genQ907	sjnkef	1
genQ908	sjnkef	1
genQ909	sjnkef	1
genQ910	sjnkef	1
genQ911	sjnkef	1
genQ912	sjnkef	1
genQ913	sjnkef	1
genQ914	sjnkef	1
genQ915	sjnkef	1
genQ916	sjnkef	1
genQ917	sjnkef	1
genQ918	sjnkef	1
genQ919	sjnkef	1
genQ920	sjnkef	1
genQ921	sjnkef	1
genQ922	sjnkef	1
genQ923	sjnkef	1
genQ924	sjnkef	1
genQ925	sjnkef	1
genQ926	sjnkef	1
genQ927	sjnkef	1
genQ928	sjnkef	1
genQ929	sjnkef	1
genQ930	sjnkef	1
genQ931	sjnkef	1
genQ932	sjnkef	1
genQ933	sjnkef	1
genQ934	sjnkef	1
genQ935	sjnkef	1
genQ936	sjnkef	1
genQ937	sjnkef	1
genQ938	sjnkef	1
genQ939	sjnkef	1
genQ940	sjnkef	1
genQ941	sjnkef	1
genQ942	sjnkef	1
genQ943	sjnkef	1
genQ944	sjnkef	1
genQ945	sjnkef	1
genQ946	sjnkef	1
genQ947	sjnkef	1
genQ948	sjnkef	1
genQ949	sjnkef	1
genQ950	sjnkef	1
genQ951	sjnkef	1
genQ952	sjnkef	1
genQ953	sjnkef	1
genQ954	sjnkef	1
genQ955	sjnkef	1
genQ956	sjnkef	1
genQ957	sjnkef	1
genQ958	sjnkef	1
genQ959	sjnkef	1
genQ960	sjnkef	1
genQ961	sjnkef	1
genQ962	sjnkef	1
genQ963	sjnkef	1
genQ964	sjnkef	1
genQ965	sjnkef	1
genQ966	sjnkef	1
genQ967	sjnkef	1
genQ968	sjnkef	1
genQ969	sjnkef	1
genQ970	sjnkef	1
genQ971	sjnkef	1
genQ972	sjnkef	1
genQ973	sjnkef	1
genQ974	sjnkef	1
genQ975	sjnkef	1
genQ976	sjnkef	1
genQ977	sjnkef	1
genQ978	sjnkef	1
genQ979	sjnkef	1
genQ980	sjnkef	1
genQ981	sjnkef	1
genQ982	sjnkef	1
genQ983	sjnkef	1
genQ984	sjnkef	1
genQ985	sjnkef	1
genQ986	sjnkef	1
genQ987	sjnkef	1
genQ988	sjnkef	1
genQ989	sjnkef	1
genQ990	sjnkef	1
genQ991	sjnkef	1
genQ992	sjnkef	1
genQ993	sjnkef	1
genQ994	sjnkef	1
genQ995	sjnkef	1
genQ996	sjnkef	1
genQ997	sjnkef	1
genQ998	sjnkef	1
genQ999	sjnkef	1
genQ1000	sjnkef	1
genQ1001	sjnkef	1
genQ1002	sjnkef	1
genQ1003	sjnkef	1
genQ1004	sjnkef	1
genQ1005	sjnkef	1
genQ1006	sjnkef	1
genQ1007	sjnkef	1
genQ1008	sjnkef	1
genQ1009	sjnkef	1
genQ1010	sjnkef	1
genQ1011	sjnkef	1
genQ1012	sjnkef	1
genQ1013	sjnkef	1
genQ1014	sjnkef	1
genQ1015	sjnkef	1
genQ1016	sjnkef	1
genQ1017	sjnkef	1
genQ1018	sjnkef	1
genQ1019	sjnkef	1
genQ1020	sjnkef	1
genQ1021	sjnkef	1
genQ1022	sjnkef	1
genQ1023	sjnkef	1
genQ1024	sjnkef	1
genQ1025	sjnkef	1
genQ1026	sjnkef	1
genQ1027	sjnkef	1
genQ1028	sjnkef	1
genQ1029	sjnkef	1
genQ1030	sjnkef	1
genQ1031	sjnkef	1
genQ1032	sjnkef	1
genQ1033	sjnkef	1
genQ1034	sjnkef	1
genQ1035	sjnkef	1
genQ1036	sjnkef	1
genQ1037	sjnkef	1
genQ1038	sjnkef	1
genQ1039	sjnkef	1
genQ1040	sjnkef	1
genQ1041	sjnkef	1
genQ1042	sjnkef	1
genQ1043	oisjed	1
genQ1044	oisjed	1
genQ1045	oisjed	1
genQ1046	oisjed	1
genQ1047	oisjed	1
genQ1048	oisjed	1
genQ1049	oisjed	1
genQ1050	oisjed	1
genQ1051	oisjed	1
genQ1052	oisjed	1
genQ1053	oisjed	1
genQ1054	oisjed	1
genQ1055	oisjed	1
genQ1056	oisjed	1
genQ1057	oisjed	1
genQ1058	oisjed	1
genQ1059	oisjed	1
genQ1060	oisjed	1
genQ1061	oisjed	1
genQ1062	oisjed	1
genQ1063	oisjed	1
genQ1064	oisjed	1
genQ1065	oisjed	1
genQ1066	oisjed	1
genQ1067	oisjed	1
genQ1068	oisjed	1
genQ1069	oisjed	1
